loan_id,sector,region,exposure_at_default,probability_default,loss_given_default,duration_years,rate_type,risk_rating
LN-100326,Energy,North America,7695852.67,0.0366,0.4499,2.8,fixed,B
LN-100327,Retail & Consumer,EMEA,93358.88,0.00381,0.4548,1.35,floating,BBB
LN-100328,Healthcare,EMEA,1352850.28,0.01446,0.5653,2.66,fixed,BB
LN-100329,Financial Institutions,EMEA,541446.28,0.00388,0.2157,2.0,fixed,BBB
LN-100330,Financial Institutions,North America,4804326.06,0.01279,0.2131,11.86,fixed,BB
LN-100331,Financial Institutions,North America,943521.71,0.00156,0.4829,0.46,floating,A
LN-100332,Financial Institutions,APAC,3092064.11,0.01294,0.4491,1.52,floating,BB
LN-100333,Transportation,North America,3693209.65,0.04076,0.4704,1.88,fixed,B
LN-100334,Technology,North America,14944418.2,0.00157,0.3945,1.35,floating,A
LN-100335,Energy,APAC,1586060.56,0.01316,0.5297,4.08,floating,BB
LN-100336,Technology,APAC,2998578.22,0.00062,0.5619,1.7,fixed,AA
LN-100337,Healthcare,EMEA,387100.25,0.01457,0.5081,0.83,fixed,BB
LN-100338,Commercial Real Estate,North America,7344445.86,0.0005,0.4187,3.25,floating,AA
LN-100339,Financial Institutions,North America,858927.9,0.04175,0.1971,2.43,floating,B
LN-100340,Energy,APAC,51921580.05,0.00182,0.5423,1.77,fixed,A
LN-100341,Transportation,North America,1934824.97,0.09908,0.5966,7.35,floating,CCC
LN-100342,Energy,North America,355338.89,0.03071,0.5273,4.18,fixed,B
LN-100343,Transportation,North America,2550109.94,0.01009,0.3444,3.86,floating,BB
LN-100344,Retail & Consumer,North America,5747140.01,0.01406,0.5309,4.24,floating,BB
LN-100345,Technology,APAC,2736601.02,0.01406,0.5533,4.09,floating,BB
LN-100346,Healthcare,LATAM,345315.12,0.04421,0.6371,2.53,fixed,B
LN-100347,Technology,APAC,1730307.64,0.00473,0.3449,1.72,fixed,BBB
LN-100348,Transportation,North America,4484922.59,0.00839,0.4228,3.31,fixed,BB
LN-100349,Energy,APAC,251252.17,0.00064,0.5397,2.49,fixed,AA
LN-100350,Healthcare,North America,607894.96,0.01728,0.4569,0.45,floating,BB
LN-100351,Transportation,APAC,5200149.66,0.00125,0.3159,1.25,fixed,A
LN-100352,Energy,EMEA,2668707.89,0.0132,0.4998,2.26,fixed,BB
LN-100353,Manufacturing,North America,3119454.61,0.01242,0.5194,5.6,fixed,BB
LN-100354,Retail & Consumer,North America,15331870.95,0.00346,0.4606,3.32,fixed,BBB
LN-100355,Healthcare,APAC,3319776.62,0.0038,0.4764,1.47,fixed,BBB
LN-100356,Transportation,APAC,4088451.34,0.017,0.419,1.16,floating,BB
LN-100357,Financial Institutions,North America,39107314.53,0.01786,0.6274,6.4,floating,BB
LN-100358,Financial Institutions,North America,1567221.69,0.0038,0.3419,2.62,fixed,BBB
LN-100359,Retail & Consumer,North America,824332.26,0.018,0.3795,0.1,floating,BB
LN-100360,Healthcare,LATAM,3174231.26,0.04524,0.4513,2.75,floating,B
LN-100361,Energy,EMEA,3213560.7,0.00189,0.5555,4.81,fixed,A
LN-100362,Retail & Consumer,LATAM,1110824.48,0.00148,0.2703,1.12,floating,A
LN-100363,Energy,APAC,636897.03,0.00061,0.2928,3.14,fixed,AA
LN-100364,Commercial Real Estate,EMEA,25161581.97,0.01477,0.2055,3.35,fixed,BB
LN-100365,Financial Institutions,North America,2840605.57,0.00591,0.4539,1.19,fixed,BBB
LN-100366,Financial Institutions,North America,886012.27,0.01579,0.3158,6.79,fixed,BB
LN-100367,Technology,LATAM,5430399.88,0.01251,0.4039,3.4,floating,BB
LN-100368,Commercial Real Estate,EMEA,1758444.79,0.00458,0.5294,2.25,floating,BBB
LN-100369,Commercial Real Estate,EMEA,1501282.66,0.04256,0.373,2.63,floating,B
LN-100370,Commercial Real Estate,EMEA,3680282.82,0.01297,0.4778,0.99,floating,BB
LN-100371,Healthcare,APAC,478747.93,0.00455,0.4141,0.95,floating,BBB
LN-100372,Energy,EMEA,2922324.51,0.00402,0.5307,2.09,floating,BBB
LN-100373,Manufacturing,North America,16260514.25,0.00417,0.507,2.19,fixed,BBB
LN-100374,Financial Institutions,LATAM,3311114.6,0.0015,0.367,2.5,fixed,A
LN-100375,Transportation,EMEA,1310824.24,0.00158,0.4298,7.18,floating,A
LN-100376,Financial Institutions,APAC,1135046.52,0.04787,0.5752,4.64,fixed,B
LN-100377,Manufacturing,APAC,1262527.26,0.00284,0.4972,0.54,fixed,BBB
LN-100378,Technology,APAC,1499498.17,0.0044,0.2824,6.31,fixed,BBB
LN-100379,Energy,North America,1308527.23,0.01194,0.5287,2.07,floating,BB
LN-100380,Financial Institutions,APAC,5432677.07,0.01097,0.3198,4.94,fixed,BB
LN-100381,Commercial Real Estate,EMEA,294628.34,0.04461,0.6195,2.21,fixed,B
LN-100382,Healthcare,North America,5117620.05,0.01418,0.5729,3.24,fixed,BB
LN-100383,Technology,EMEA,1305824.01,0.00358,0.4848,1.06,fixed,BBB
LN-100384,Financial Institutions,APAC,26851405.4,0.0045,0.4689,12.31,floating,BBB
LN-100385,Retail & Consumer,North America,573959.03,0.09584,0.4249,5.33,fixed,CCC
LN-100386,Energy,APAC,8550447.46,0.01315,0.5314,0.66,floating,BB
LN-100387,Financial Institutions,EMEA,7804401.72,0.10947,0.4055,5.38,floating,CCC
LN-100388,Healthcare,APAC,5697565.74,0.00149,0.4783,1.71,fixed,A
LN-100389,Retail & Consumer,APAC,374658.32,0.04688,0.5546,8.69,floating,B
LN-100390,Manufacturing,APAC,4935838.76,0.01188,0.3826,5.01,floating,BB
LN-100391,Manufacturing,EMEA,3095130.4,0.00166,0.3761,4.43,floating,A
LN-100392,Retail & Consumer,APAC,339151.31,0.01413,0.3067,2.64,fixed,BB
LN-100393,Manufacturing,North America,1930467.73,0.01003,0.3223,13.24,fixed,BB
LN-100394,Manufacturing,EMEA,2960852.93,0.00014,0.2306,2.08,floating,AAA
LN-100395,Manufacturing,EMEA,3655278.34,0.00399,0.5376,1.28,floating,BBB
LN-100396,Commercial Real Estate,APAC,2409639.0,0.04351,0.6671,1.76,floating,B
LN-100397,Transportation,APAC,2731481.13,0.00394,0.621,5.98,floating,BBB
LN-100398,Energy,North America,10028810.23,0.00398,0.2549,3.2,fixed,BBB
LN-100399,Energy,APAC,7637930.91,0.00414,0.537,2.86,floating,BBB
LN-100400,Energy,EMEA,84646.54,0.00457,0.6207,2.11,fixed,BBB
LN-100401,Transportation,North America,1398369.66,0.0375,0.3952,2.76,floating,B
LN-100402,Retail & Consumer,North America,1654292.31,0.01154,0.4622,1.99,fixed,BB
LN-100403,Manufacturing,APAC,288569.6,0.00125,0.2091,4.72,fixed,A
LN-100404,Retail & Consumer,North America,2199193.73,0.1252,0.482,2.46,floating,CCC
LN-100405,Commercial Real Estate,APAC,7831256.67,0.0534,0.3224,1.79,floating,B
LN-100406,Manufacturing,EMEA,600054.25,0.00374,0.474,5.65,floating,BBB
LN-100407,Energy,APAC,2870627.01,0.02811,0.2627,1.31,fixed,B
LN-100408,Financial Institutions,LATAM,724034.39,0.00112,0.5151,3.23,fixed,A
LN-100409,Commercial Real Estate,EMEA,946850.77,0.10501,0.5729,0.45,floating,CCC
LN-100410,Retail & Consumer,APAC,10070621.67,0.01283,0.356,0.88,fixed,BB
LN-100411,Financial Institutions,APAC,1091634.2,0.01314,0.3136,2.26,fixed,BB
LN-100412,Financial Institutions,APAC,3296703.99,0.0006,0.1913,1.97,floating,AA
LN-100413,Technology,APAC,253130.41,0.0429,0.418,1.96,fixed,B
LN-100414,Energy,APAC,15379550.84,0.00023,0.3802,5.04,floating,AAA
LN-100415,Manufacturing,EMEA,3847436.69,0.00135,0.2639,5.24,fixed,A
LN-100416,Energy,North America,16757778.46,0.00131,0.5044,13.45,floating,A
LN-100417,Healthcare,APAC,3734412.85,0.01501,0.396,1.25,floating,BB
LN-100418,Manufacturing,North America,420499.52,0.00115,0.3209,2.74,floating,A
LN-100419,Healthcare,APAC,7281036.71,0.04763,0.3835,9.48,floating,B
LN-100420,Healthcare,LATAM,1388336.39,0.01422,0.5786,12.43,fixed,BB
LN-100421,Transportation,APAC,1584094.54,0.00059,0.5224,5.68,floating,AA
LN-100422,Manufacturing,EMEA,1154501.06,0.00025,0.4344,1.3,floating,AAA
LN-100423,Transportation,EMEA,1046836.65,0.00054,0.5243,2.76,floating,AA
LN-100424,Retail & Consumer,APAC,4257265.76,0.01833,0.3107,3.52,floating,BB
LN-100425,Healthcare,APAC,2627379.54,0.04348,0.4539,3.15,floating,B
LN-100426,Healthcare,North America,4060931.57,0.00121,0.4677,6.08,floating,A
LN-100427,Financial Institutions,EMEA,1963670.22,0.04547,0.3936,4.89,floating,B
LN-100428,Retail & Consumer,North America,3486886.56,0.0005,0.5023,1.23,fixed,AA
LN-100429,Financial Institutions,EMEA,1250765.57,0.03993,0.3563,1.82,fixed,B
LN-100430,Manufacturing,EMEA,23039139.05,0.04768,0.5112,5.67,floating,B
LN-100431,Retail & Consumer,EMEA,353371.98,0.01517,0.5162,7.33,fixed,BB
LN-100432,Retail & Consumer,North America,7936881.96,0.01269,0.1,3.55,floating,BB
LN-100433,Healthcare,North America,8927957.43,0.05166,0.5928,7.92,floating,B
LN-100434,Technology,EMEA,776556.99,0.0007,0.1,3.27,fixed,AA
LN-100435,Commercial Real Estate,APAC,15623692.97,0.00182,0.3761,14.52,floating,A
LN-100436,Financial Institutions,EMEA,5927062.65,0.00162,0.573,4.59,floating,A
LN-100437,Financial Institutions,APAC,5770405.47,0.00482,0.4119,15.0,floating,BBB
LN-100438,Commercial Real Estate,APAC,2044828.35,0.01005,0.2741,0.99,fixed,BB
LN-100439,Transportation,EMEA,1561334.13,0.01333,0.3188,7.73,floating,BB
LN-100440,Healthcare,APAC,16690500.19,0.03915,0.5732,10.21,floating,B
LN-100441,Commercial Real Estate,APAC,3046742.84,0.00153,0.2194,1.74,floating,A
LN-100442,Retail & Consumer,APAC,9260836.18,0.0128,0.5855,0.46,fixed,BB
LN-100443,Financial Institutions,North America,2420405.48,0.00146,0.4434,0.28,floating,A
LN-100444,Manufacturing,EMEA,727531.09,0.00513,0.3069,1.96,floating,BBB
LN-100445,Transportation,APAC,4910418.69,0.01364,0.38,3.94,floating,BB
LN-100446,Retail & Consumer,APAC,5461673.6,0.12745,0.3279,5.4,fixed,CCC
LN-100447,Energy,North America,4073957.65,0.01351,0.5539,6.24,floating,BB
LN-100448,Manufacturing,LATAM,4502074.27,0.00061,0.5379,3.7,floating,AA
LN-100449,Technology,APAC,1471774.03,0.01401,0.2437,3.31,fixed,BB
LN-100450,Healthcare,LATAM,713624.3,0.00064,0.4016,2.32,floating,AA
LN-100451,Transportation,EMEA,762980.1,0.05287,0.3464,4.01,floating,B
LN-100452,Energy,APAC,328072.67,0.01746,0.6052,1.76,floating,BB
LN-100453,Transportation,EMEA,2573155.37,0.00157,0.288,1.05,floating,A
LN-100454,Technology,EMEA,1808858.13,0.00065,0.6425,3.16,floating,AA
LN-100455,Energy,North America,1222017.24,0.00124,0.446,5.13,floating,A
LN-100456,Transportation,North America,76789.2,0.11842,0.3106,0.85,floating,CCC
LN-100457,Manufacturing,EMEA,502801.52,0.00456,0.3687,1.96,fixed,BBB
LN-100458,Technology,EMEA,6803343.34,0.01582,0.3538,3.08,fixed,BB
LN-100459,Healthcare,EMEA,954469.91,0.01444,0.297,3.03,floating,BB
LN-100460,Commercial Real Estate,LATAM,2948039.25,0.01586,0.4614,4.34,fixed,BB
LN-100461,Energy,North America,429443.74,0.00161,0.3027,9.31,floating,A
LN-100462,Healthcare,EMEA,9651037.98,0.0531,0.1884,0.28,fixed,B
LN-100463,Manufacturing,EMEA,1692250.02,0.00417,0.4044,9.57,fixed,BBB
LN-100464,Commercial Real Estate,APAC,2727904.9,0.01325,0.2337,9.04,fixed,BB
LN-100465,Commercial Real Estate,APAC,25606525.29,0.01471,0.3597,5.46,fixed,BB
LN-100466,Financial Institutions,North America,10512589.64,0.00785,0.3409,3.5,fixed,BB
LN-100467,Energy,EMEA,1415194.9,0.04758,0.3455,1.79,fixed,B
LN-100468,Commercial Real Estate,APAC,1032463.03,0.00075,0.6901,5.41,floating,A
LN-100469,Technology,EMEA,1385955.69,0.00297,0.4568,3.63,fixed,BBB
LN-100470,Commercial Real Estate,APAC,3474246.13,0.00427,0.4794,2.36,fixed,BBB
LN-100471,Healthcare,North America,1766045.55,0.00429,0.2368,5.32,fixed,BBB
LN-100472,Technology,North America,1283667.07,0.00124,0.3715,5.94,fixed,A
LN-100473,Healthcare,APAC,9958125.17,0.00134,0.4758,7.3,fixed,A
LN-100474,Retail & Consumer,EMEA,1748675.35,0.00482,0.3271,1.63,floating,BBB
LN-100475,Financial Institutions,APAC,24879332.64,0.00371,0.559,6.69,floating,BBB
LN-100476,Healthcare,LATAM,2190886.51,0.00535,0.3057,2.39,fixed,BBB
LN-100477,Retail & Consumer,APAC,14130557.85,0.014,0.4156,3.51,floating,BB
LN-100478,Commercial Real Estate,LATAM,2937446.91,0.01486,0.3797,4.01,fixed,BB
LN-100479,Energy,North America,20122444.19,0.00497,0.4697,6.34,fixed,BBB
LN-100480,Energy,APAC,893523.44,0.00408,0.3731,4.96,floating,BBB
LN-100481,Commercial Real Estate,APAC,775191.1,0.00127,0.4175,2.33,fixed,A
LN-100482,Manufacturing,APAC,3287626.88,0.01377,0.4217,0.33,floating,BB
LN-100483,Energy,North America,5882006.87,0.00398,0.3619,4.3,fixed,BBB
LN-100484,Commercial Real Estate,EMEA,2072533.13,0.00048,0.5082,3.41,fixed,AA
LN-100485,Energy,North America,44787094.49,0.00385,0.4786,0.98,fixed,BBB
LN-100486,Technology,North America,444060.37,0.00355,0.4394,3.7,fixed,BBB
LN-100487,Energy,North America,412565.38,0.00171,0.3983,3.05,floating,A
LN-100488,Manufacturing,North America,283683.85,0.01407,0.5456,7.25,fixed,BB
LN-100489,Commercial Real Estate,EMEA,2236525.03,0.01341,0.4217,9.99,floating,BB
LN-100490,Commercial Real Estate,North America,6834872.09,0.01378,0.4132,5.84,floating,BB
LN-100491,Energy,EMEA,1953713.8,0.01447,0.4626,2.92,floating,BB
LN-100492,Retail & Consumer,LATAM,164974.1,0.0153,0.6536,3.25,fixed,BB
LN-100493,Healthcare,North America,1607456.21,0.0034,0.2892,1.58,fixed,BBB
LN-100494,Financial Institutions,APAC,1657665.93,0.01181,0.5424,1.84,fixed,BB
LN-100495,Healthcare,APAC,19887433.85,0.00466,0.2228,2.79,floating,BBB
LN-100496,Technology,North America,399172.25,0.00375,0.4761,2.58,fixed,BBB
LN-100497,Transportation,APAC,1290131.41,0.01102,0.639,0.93,floating,BB
LN-100498,Manufacturing,LATAM,12947819.44,0.00427,0.5086,7.3,floating,BBB
LN-100499,Financial Institutions,North America,3252635.59,0.00428,0.4705,7.97,fixed,BBB
